primary_key,sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
NBA_2023-11-06_NA_Oklahoma City Thunder_Atlanta Hawks,basketball,pro,NBA,2023-11-06,Monday,,Oklahoma City Thunder,Atlanta Hawks,Paycom Center,Oklahoma City,OK
NBA_2023-11-06_NA_Denver Nuggets_New Orleans Pelicans,basketball,pro,NBA,2023-11-06,Monday,,Denver Nuggets,New Orleans Pelicans,Ball Arena,Denver,CO
NBA_2023-11-08_NA_Charlotte Hornets_Washington Wizards,basketball,pro,NBA,2023-11-08,Wednesday,,Charlotte Hornets,Washington Wizards,Spectrum Center,Charlotte,NC
NBA_2023-11-08_NA_Indiana Pacers_Utah Jazz,basketball,pro,NBA,2023-11-08,Wednesday,,Indiana Pacers,Utah Jazz,Gainbridge Fieldhouse,Indianapolis,IN
NBA_2023-11-08_NA_Philadelphia 76ers_Boston Celtics,basketball,pro,NBA,2023-11-08,Wednesday,,Philadelphia 76ers,Boston Celtics,Wells Fargo Center,Philadelphia,PA
NBA_2023-11-08_NA_Brooklyn Nets_Los Angeles Clippers,basketball,pro,NBA,2023-11-08,Wednesday,,Brooklyn Nets,Los Angeles Clippers,Barclays Center,Brooklyn,NY
NBA_2023-11-08_NA_New York Knicks_San Antonio Spurs,basketball,pro,NBA,2023-11-08,Wednesday,,New York Knicks,San Antonio Spurs,Madison Square Garden (IV),New York,NY
NBA_2023-11-08_NA_Chicago Bulls_Phoenix Suns,basketball,pro,NBA,2023-11-08,Wednesday,,Chicago Bulls,Phoenix Suns,United Center,Chicago,IL
NBA_2023-11-08_NA_Houston Rockets_Los Angeles Lakers,basketball,pro,NBA,2023-11-08,Wednesday,,Houston Rockets,Los Angeles Lakers,Toyota Center,Houston,TX
NBA_2023-11-08_NA_Memphis Grizzlies_Miami Heat,basketball,pro,NBA,2023-11-08,Wednesday,,Memphis Grizzlies,Miami Heat,FedEx Forum,Memphis,TN
NBA_2023-11-08_NA_Milwaukee Bucks_Detroit Pistons,basketball,pro,NBA,2023-11-08,Wednesday,,Milwaukee Bucks,Detroit Pistons,Fiserv Forum,Milwaukee,WI
NBA_2023-11-08_NA_Minnesota Timberwolves_New Orleans Pelicans,basketball,pro,NBA,2023-11-08,Wednesday,,Minnesota Timberwolves,New Orleans Pelicans,Target Center,Minneapolis,MN
NBA_2023-11-08_NA_Oklahoma City Thunder_Cleveland Cavaliers,basketball,pro,NBA,2023-11-08,Wednesday,,Oklahoma City Thunder,Cleveland Cavaliers,Paycom Center,Oklahoma City,OK
NBA_2023-11-08_NA_Dallas Mavericks_Toronto Raptors,basketball,pro,NBA,2023-11-08,Wednesday,,Dallas Mavericks,Toronto Raptors,American Airlines Center,Dallas,TX
NBA_2023-11-08_NA_Denver Nuggets_Golden State Warriors,basketball,pro,NBA,2023-11-08,Wednesday,,Denver Nuggets,Golden State Warriors,Ball Arena,Denver,CO
NBA_2023-11-08_NA_Sacramento Kings_Portland Trail Blazers,basketball,pro,NBA,2023-11-08,Wednesday,,Sacramento Kings,Portland Trail Blazers,Golden 1 Center,Sacramento,CA
NBA_2023-11-09_NA_Indiana Pacers_Milwaukee Bucks,basketball,pro,NBA,2023-11-09,Thursday,,Indiana Pacers,Milwaukee Bucks,Gainbridge Fieldhouse,Indianapolis,IN
NBA_2023-11-09_NA_Orlando Magic_Atlanta Hawks,basketball,pro,NBA,2023-11-09,Thursday,,Orlando Magic,Atlanta Hawks,Mexico City Arena,Orlando,FL
NBA_2023-11-10_NA_Detroit Pistons_Philadelphia 76ers,basketball,pro,NBA,2023-11-10,Friday,,Detroit Pistons,Philadelphia 76ers,Little Caesars Arena,Detroit,MI
NBA_2023-11-10_NA_Washington Wizards_Charlotte Hornets,basketball,pro,NBA,2023-11-10,Friday,,Washington Wizards,Charlotte Hornets,Capital One Arena,Washington,DC
NBA_2023-11-10_NA_Boston Celtics_Brooklyn Nets,basketball,pro,NBA,2023-11-10,Friday,,Boston Celtics,Brooklyn Nets,TD Garden,Boston,MA
NBA_2023-11-10_NA_Houston Rockets_New Orleans Pelicans,basketball,pro,NBA,2023-11-10,Friday,,Houston Rockets,New Orleans Pelicans,Toyota Center,Houston,TX
NBA_2023-11-10_NA_Memphis Grizzlies_Utah Jazz,basketball,pro,NBA,2023-11-10,Friday,,Memphis Grizzlies,Utah Jazz,FedEx Forum,Memphis,TN
NBA_2023-11-10_NA_San Antonio Spurs_Minnesota Timberwolves,basketball,pro,NBA,2023-11-10,Friday,,San Antonio Spurs,Minnesota Timberwolves,Frost Bank Center,San Antonio,TX
NBA_2023-11-10_NA_Dallas Mavericks_Los Angeles Clippers,basketball,pro,NBA,2023-11-10,Friday,,Dallas Mavericks,Los Angeles Clippers,American Airlines Center,Dallas,TX
NBA_2023-11-10_NA_Phoenix Suns_Los Angeles Lakers,basketball,pro,NBA,2023-11-10,Friday,,Phoenix Suns,Los Angeles Lakers,Footprint Center,Phoenix,AZ
NBA_2023-11-10_NA_Sacramento Kings_Oklahoma City Thunder,basketball,pro,NBA,2023-11-10,Friday,,Sacramento Kings,Oklahoma City Thunder,Golden 1 Center,Sacramento,CA
NBA_2023-11-11_NA_Orlando Magic_Milwaukee Bucks,basketball,pro,NBA,2023-11-11,Saturday,,Orlando Magic,Milwaukee Bucks,Amway Center,Orlando,FL
NBA_2023-11-11_NA_Boston Celtics_Toronto Raptors,basketball,pro,NBA,2023-11-11,Saturday,,Boston Celtics,Toronto Raptors,TD Garden,Boston,MA
NBA_2023-11-11_NA_Atlanta Hawks_Miami Heat,basketball,pro,NBA,2023-11-11,Saturday,,Atlanta Hawks,Miami Heat,State Farm Arena,Atlanta,GA
NBA_2023-11-11_NA_Golden State Warriors_Cleveland Cavaliers,basketball,pro,NBA,2023-11-11,Saturday,,Golden State Warriors,Cleveland Cavaliers,Chase Center,San Francisco,CA
NBA_2023-11-12_NA_New York Knicks_Charlotte Hornets,basketball,pro,NBA,2023-11-12,Sunday,,New York Knicks,Charlotte Hornets,Madison Square Garden (IV),New York,NY
